q_ratio,M,mean_of_means,ci95_mean_lo,ci95_mean_hi,var_of_means,mean_of_vars,ci95_var_lo,ci95_var_hi,var_of_vars
0.47000000000000003,100,6.3047954046171855,6.22094180482427,6.388649004410101,0.18303379316509702,0.5030671563753505,0.47868272191001937,0.5274515908406816,0.01547794263312232
0.48,100,6.816971901296728,6.706381583854186,6.927562218739269,0.31836261745215827,0.5622573650926495,0.5257909184274223,0.5987238117578766,0.03461583018502326
0.49,100,7.154739278632303,7.04301399396275,7.266464563301857,0.3249307380907126,0.5638690817950911,0.5374081401442657,0.5903300234459165,0.0182262971951371
0.5,100,7.264982527491489,7.1554352670616925,7.374529787921286,0.312385523419244,0.5737817445418549,0.5439527861468386,0.6036107029368712,0.02316135878101875
0.51,100,7.138358770029968,7.0393318332931445,7.2373857067667915,0.2552669252259181,0.5639806874507023,0.5343958907836425,0.5935654841177621,0.022783740988944107
0.52,100,6.825269412112605,6.725513345641165,6.925025478584045,0.25903979586251585,0.5317636528005414,0.5062470599810055,0.5572802456200773,0.016948576351467882
0.53,100,6.260270387233478,6.163870430374403,6.356670344092554,0.24190315708120588,0.4968967490318821,0.4725301747147454,0.5212633233490187,0.015455277591434419
0.54,100,5.613881290446503,5.530025484161348,5.697737096731659,0.183043425857289,0.43782852649355986,0.41507815010824184,0.46057890287887787,0.013473022325948481
0.55,100,4.904571797704215,4.823602113695572,4.9855414817128585,0.17066039484744652,0.3932722973304127,0.3721764705037077,0.41436812415711766,0.011584597810868534
0.56,100,4.0207151034267286,3.9340253840745856,4.1074048227788715,0.19562441277991705,0.31440883372485223,0.2987717079441404,0.3300459595055641,0.00636504848713565
0.5700000000000001,100,3.1777164302318006,3.098361699544963,3.2570711609186382,0.16392058731727754,0.2498432116513424,0.2363664309787925,0.2633199923238923,0.0047278117788425306
0.58,100,2.4985564797745066,2.4332359553738665,2.5638770041751466,0.11106754758367918,0.1944172100442071,0.18375289216996793,0.20508152791844625,0.002960424711651828
0.59,100,1.9243717141102825,1.8616285166086317,1.9871149116119333,0.10247576095197752,0.14778230699360514,0.137969263803162,0.1575953501840483,0.0025066591174901886
0.6,100,1.3805603808820226,1.3372639332216092,1.423856828542436,0.04879691743052172,0.10472462857882071,0.09887322297638827,0.11057603418125315,0.0008912678968184554
0.61,100,0.9664622429784728,0.9274079495086971,1.0055165364482486,0.03970319237878409,0.07552360704192887,0.07043592587385154,0.0806112882100062,0.000673794764369238
0.62,100,0.6585854954383591,0.622930668273379,0.6942403226033392,0.03309211526875791,0.0522449277850855,0.04791023198557807,0.05657962358459293,0.0004891083838574386
0.63,100,0.4347189012209183,0.40768010655123477,0.4617576958906018,0.01903103959780575,0.033475038035412935,0.0306894086853066,0.036260667385519266,0.00020199216149973542
0.64,100,0.26097723059510924,0.23867949346508133,0.28327496772513716,0.012942239720945081,0.020966280927692323,0.01880537915339403,0.023127182701990615,0.00012155082460863992
0.65,100,0.16161139353178416,0.1442555332443003,0.17896725381926804,0.007841156974142538,0.012221858182820287,0.010834161293026418,0.013609555072614157,5.0127620208860346e-05
0.66,100,0.1001503481590435,0.08739063709333504,0.11291005922475196,0.0042380837796845835,0.008039275669684287,0.006876492530865926,0.00920205880850265,3.519535162224803e-05
